咳,せき,しわぶき
石炭,せきたん,いしずみ
責任,せきにん
石油,せきゆ
世間,せけん
説,せつ
積極的,せっきょくてき
設計,せっけい
絶対,ぜったい
設備,せつび
絶滅,ぜつめつ
節約,せつやく
是非,ぜひ
責める,せめる
世話,せわ
善,ぜん
全,ぜん
全員,ぜんいん,ぜいいん
専攻,せんこう
全国,ぜんこく
先日,せんじつ
前者,ぜんしゃ
選手,せんしゅ
前進,ぜんしん
全然,ぜんぜん,ぜんっぜん
全体,ぜんたい
選択,せんたく,せんだく
象,しょう,ぞう,ゾウ
騒音,そうおん
増加,ぞうか
操作,そうさ
掃除,そうじ
想像,そうぞう
相続,そうぞく
相談,そうだん
装置,そうち
相当,そうとう
速度,そくど
底,そこ,てい
組織,そしき,そしょく
注ぐ,そそぐ,つぐ
育つ,そだつ
袖,そで
備える,そなえる
側,そば,がわ,かわ,かたわら,そく
粗末,そまつ
損,そん
損害,そんがい
尊敬,そんけい
存在,そんざい
尊重,そんちょう
田,た
他,ほか,た
対,たい,つい
大,おお,だい,おおき,おおい,たい
台,だい,うてな,たい
題,だい
体育,たいいく,たいく
体温,たいおん
大会,たいかい
大気,たいき
代金,だいきん
退屈,たいくつ
滞在,たいざい
大使,たいし
大した,たいした
対象,たいしょう
大臣,だいじん,おとど
対する,たいする
大戦,たいせん
大抵,たいてい
態度,たいど
大統領,だいとうりょう
大半,たいはん
代表,だいひょう
大部分,だいぶぶん
大変,たいへん
逮捕,たいほ
太陽,たいよう
平ら,たいら,だいら
代理,だいり
大陸,たいりく
倒す,たおす,こかす
互い,たがい
宝,たから
宅,たく
確かめる,たしかめる
多少,たしょう
助ける,たすける
唯,ただ,タダ
戦い,たたかい
戦う,たたかう
叩く,たたく,はたく
直ちに,ただちに
立ち上がる,たちあがる
立場,たちば,たてば
経つ,たつ
達する,たっする
縦,たて,タテ,ほしいまま,よし
谷,たに
他人,たにん,ひと,あだびと
種,しゅ,たね,タネ,くさ
束,たば,つか,そく
度,たび,たんび,ど,ド,どう
旅,たび,りょ
多分,たぶん
玉,たま,ぎょく
弾,たま,だん
偶,たまたま,たま,ぐう
偶々,たまたま
黙る,だまる
駄目,だめ,ダメ,だーめ
試し,ためし
試す,ためす
便り,たより,だより
頼る,たよる
誰か,だれか
段,たん,だん
単位,たんい
単語,たんご
単純,たんじゅん
男子,だんし
誕生,たんじょう
団体,だんたい
担当,たんとう
単なる,たんなる
単に,たんに
地,ち,つち,つし,じ
地位,ちい
地域,ちいき
知恵,ちえ
地下,ちか
違い,ちがい
違いない,ちがいない
近頃,ちかごろ
地球,ちきゅう
地区,ちく
遅刻,ちこく
知事,ちじ
知識,ちしき
父親,ちちおや,てておや
知能,ちのう
地平線,ちへいせん
地方,ちほう,じかた
茶,ちゃ
中,なか,うち,ちゅう,じゅう,ぢゅう,チュン
注,ちゅう
